"macro"	"model"	"class"	"faction"	"price"	"weapons"	"turrets"	"shields"	"hull"	"mass"	"cargo"	"engines"	"drag_fwd"	"drag_rev"	"drag_pitch"	"drag_yaw"	"drag_roll"	"crew"	"docks"	"hangars"	"dlc"	"role"
"ship_tel_xl_builder_01_b_macro"	"Albatross Sentinel"	"xl"	"arg"	10948470	0	8	2	138000	1180.964	50	2	316.193	1264.772	936.193	936.193	936.193	182	2	50	0	"builder"
"ship_tel_xl_builder_01_a_macro"	"Albatross Vanguard"	"xl"	"arg"	9123765	0	8	2	115000	984.137	50	2	276.827	1107.31	896.827	896.827	896.827	219	2	50	0	"builder"
"ship_spl_m_miner_liquid_01_a_macro"	"Alligator (Gas)"	"m"	"split"	212670	0	2	1	4300	33.07	7600	2	4.042	23.096	10.767	10.767	10.767	8	0	0	1	"miner"
"ship_spl_m_miner_solid_01_a_macro"	"Alligator (Mineral)"	"m"	"split"	236300	2	2	1	4800	36.617	7000	2	4.375	24.998	11.654	11.654	11.654	8	0	0	1	"miner"
"ship_par_s_heavyfighter_01_a_macro"	"Ares"	"s"	"paranid"	243540	4	0	3	4700	12.038	270	3	8.258	40.892	4.699	4.699	4.699	2	0	0	0	"military"
"ship_atf_xl_battleship_01_a_macro"	"Asgard"	"xl"	"terran"	26179920	3	22	4	275000	487.388	9000	1	133.108	532.433	717.73	717.73	717.73	360	4	40	2	"military"
"ship_spl_s_fighter_02_a_macro"	"Asp"	"s"	"split"	255275	3	0	1	4600	6.843	170	2	3.52	10.256	3.404	3.404	3.404	2	0	0	1	"military"
"ship_spl_s_fighter_02_b_macro"	"Asp Raider"	"s"	"split"	123940	3	0	1	1800	4.106	100	2	3.346	7.518	2.549	2.549	2.549	1	0	0	1	"military"
"ship_gen_m_yacht_01_a_macro"	"Astrid"	"m"	"argon"	2170000	2	6	1	4000	30.969	4300	1	3.155	8.833	10.242	10.242	10.242	16	0	0	3	""
"ship_par_xl_resupplier_02_a_macro"	"Atlas E"	"xl"	"par"	15457615	0	8	2	164000	1256.778	34040	3	310.646	1242.584	931.356	931.356	931.356	258	10	24	0	"resupplier"
"ship_par_xl_resupplier_01_b_macro"	"Atlas Sentinel"	"xl"	"par"	11568815	0	8	2	156000	1199.686	34800	3	299.941	1199.765	939.937	939.937	939.937	205	10	50	0	""
"ship_par_xl_resupplier_01_a_macro"	"Atlas Vanguard"	"xl"	"par"	9640505	0	8	2	130000	999.739	29000	3	262.451	1049.804	899.948	899.948	899.948	247	10	50	0	""
"ship_spl_s_heavyfighter_02_a_macro"	"Balaur"	"s"	"split"	271350	4	0	1	5500	6.473	180	3	4.784	22.946	3.288	3.288	3.288	1	0	0	1	"military"
"ship_ter_m_trans_container_01_a_macro"	"Baldric"	"m"	"terran"	734360	0	2	1	9000	72.561	10700	2	17.028	68.112	20.64	20.64	20.64	22	0	0	2	"trader"
"ship_pir_l_scavenger_01_a_macro"	"Barbarossa"	"l"	"argon"	7714025	0	14	1	114000	243.18	21000	4	86.42	345.68	115.636	115.636	115.636	126	1	2	3	"trader"
"ship_arg_l_destroyer_01_b_macro"	"Behemoth Sentinel"	"l"	"arg"	5641250	2	10	3	111000	235.22	2760	3	108.805	435.22	114.044	114.044	114.044	36	4	40	0	"military"
"ship_arg_l_destroyer_01_a_macro"	"Behemoth Vanguard"	"l"	"arg"	4713125	2	10	3	93000	196.016	2300	3	99.004	396.016	106.203	106.203	106.203	44	4	40	0	"military"
"ship_spl_m_trans_container_01_a_macro"	"Boa"	"m"	"split"	373740	0	2	1	7400	56.286	7500	2	8.887	35.546	16.572	16.572	16.572	20	0	0	1	"trader"
"ship_ter_m_miner_liquid_01_a_macro"	"Bolo (Gas)"	"m"	"terran"	388740	0	2	1	5000	37.781	10000	2	6.898	39.419	11.945	11.945	11.945	7	0	0	2	"miner"
"ship_ter_m_miner_solid_01_a_macro"	"Bolo (Mineral)"	"m"	"terran"	388740	1	2	1	5000	37.781	8800	2	6.898	39.419	11.945	11.945	11.945	7	0	0	2	"miner"
"ship_spl_l_trans_container_01_a_macro"	"Buffalo"	"l"	"split"	2938525	0	9	1	37000	286.597	16000	3	79.072	316.288	124.319	124.319	124.319	59	1	40	1	"trader"
"ship_tel_s_fighter_02_b_macro"	"Buzzard Sentinel"	"s"	"tel"	190320	3	0	2	5000	10.437	300	2	5.707	25.472	4.199	4.199	4.199	2	0	0	0	"military"
"ship_tel_s_fighter_02_a_macro"	"Buzzard Vanguard"	"s"	"tel"	157850	3	0	2	4100	8.698	300	2	5.312	22.601	3.656	3.656	3.656	3	0	0	0	"military"
"ship_arg_s_trans_container_02_b_macro"	"Callisto Sentinel"	"s"	"arg"	98455	2	0	1	2500	19.472	1030	2	5.604	24.722	7.023	7.023	7.023	2	0	0	0	"trader"
"ship_arg_s_trans_container_02_a_macro"	"Callisto Vanguard"	"s"	"arg"	80050	2	0	1	2100	16.227	1030	2	5.158	21.477	6.008	6.008	6.008	3	0	0	0	"trader"
"ship_arg_m_frigate_01_b_macro"	"Cerberus Sentinel"	"m"	"arg"	1145000	2	4	3	20000	41.318	2112	2	10.584	29.636	8.981	8.981	8.981	11	1	1	0	"military"
"ship_arg_m_frigate_01_a_macro"	"Cerberus Vanguard"	"m"	"arg"	963665	2	4	3	17000	34.432	1760	2	9.164	25.659	7.776	7.776	7.776	14	1	1	0	"military"
"ship_spl_s_heavyfighter_01_a_macro"	"Chimera"	"s"	"split"	338625	5	0	1	6100	9.056	200	4	6.34	35.14	4.096	4.096	4.096	2	0	0	1	"military"
"ship_par_l_miner_liquid_01_b_macro"	"Chthonios (Gas) Sentinel"	"l"	"par"	1395770	0	6	1	28000	217.132	38400	3	54.749	312.849	145.168	145.168	145.168	33	2	40	0	""
"ship_par_l_miner_liquid_01_a_macro"	"Chthonios (Gas) Vanguard"	"l"	"par"	1154890	0	6	1	23000	180.944	32000	3	49.999	285.708	132.14	132.14	132.14	40	2	40	0	""
"ship_par_l_miner_solid_01_b_macro"	"Chthonios (Mineral) Sentinel"	"l"	"par"	1395770	0	7	1	28000	217.132	38400	3	54.749	312.849	145.168	145.168	145.168	33	2	40	0	""
"ship_par_l_miner_solid_01_a_macro"	"Chthonios (Mineral) Vanguard"	"l"	"par"	1154890	0	7	1	23000	180.944	32000	3	49.999	285.708	132.14	132.14	132.14	40	2	40	0	""
"ship_par_l_miner_liquid_02_a_macro"	"Chthonios E (Gas)"	"l"	"par"	1591620	0	6	1	29000	219.541	35200	3	55.065	314.656	110.908	110.908	110.908	41	2	4	0	"miner"
"ship_par_l_miner_solid_02_a_macro"	"Chthonios E (Mineral)"	"l"	"par"	1591625	0	7	1	29000	219.541	34960	3	55.065	314.655	110.908	110.908	110.908	41	2	4	0	"miner"
"ship_spl_m_frigate_01_a_macro"	"Cobra"	"m"	"split"	2172540	3	4	2	32000	38.045	1290	3	8.588	24.046	11.351	11.351	11.351	25	1	1	1	"military"
"ship_arg_xl_carrier_01_b_macro"	"Colossus Sentinel"	"xl"	"arg"	12102675	0	17	3	259000	659.043	22800	2	211.809	847.234	831.809	831.809	831.809	102	12	50	0	"military"
"ship_arg_xl_carrier_01_a_macro"	"Colossus Vanguard"	"xl"	"arg"	10090050	0	17	3	216000	549.202	19000	2	189.84	759.362	809.84	809.84	809.84	123	12	50	0	"military"
"ship_tel_xl_carrier_01_b_macro"	"Condor Sentinel"	"xl"	"tel"	13409595	0	13	2	287000	730.078	33600	3	310.771	1243.086	846.016	846.016	846.016	112	9	50	0	"military"
"ship_tel_xl_carrier_01_a_macro"	"Condor Vanguard"	"xl"	"tel"	11170550	0	13	2	239000	608.398	28000	3	277.309	1109.238	821.68	821.68	821.68	135	9	50	0	"military"
"ship_tel_m_trans_container_03_a_macro"	"Cormorant Vanguard"	"m"	"tel"	418830	1	2	2	10000	65.536	7900	2	17.137	68.549	25.493	25.493	25.493	17	0	0	0	"trader"
"ship_arg_s_miner_solid_01_a_macro"	"Courier (Mineral)"	"s"	"arg"	83265	1	0	1	1200	9.532	2600	3	4.478	23.617	7.371	7.371	7.371	3	0	0	0	"miner"
"ship_arg_s_trans_container_01_b_macro"	"Courier Sentinel"	"s"	"arg"	185980	1	0	1	2600	20.588	1960	3	5.998	27.588	7.371	7.371	7.371	4	0	0	0	"trader"
